date,description,amount,type,merchant,payment_method
2026-07-22,OLA PURCHASE,-282,expense,Ola,UPI
2026-07-22,STARBUCKS PURCHASE,-670,expense,Starbucks,Cash
2026-07-24,MAKEMYTRIP PURCHASE,-3900,expense,MakeMyTrip,Cash
2026-07-24,AMAZON PURCHASE,-607,expense,Amazon,UPI
2026-07-25,DMART PURCHASE,-686,expense,DMart,Credit Card
2026-07-25,STARBUCKS PURCHASE,-532,expense,Starbucks,Net Banking
2026-07-25,ZOMATO PURCHASE,-729,expense,Zomato,UPI
2026-07-26,LIC PREMIUM PURCHASE,-6639,expense,LIC Premium,Cash
2026-07-28,ZOMATO PURCHASE,-376,expense,Zomato,UPI
2026-07-28,ELECTRICITY BOARD PURCHASE,-4316,expense,Electricity Board,Credit Card
2026-07-28,NETFLIX PURCHASE,-413,expense,Netflix,Credit Card
2026-07-30,ELECTRICITY BOARD PURCHASE,-4142,expense,Electricity Board,Credit Card
2026-07-30,UBER PURCHASE,-272,expense,Uber,Debit Card
2026-08-01,SALARY CREDIT,64114,income,Acme Corp,Bank Transfer
2026-08-02,AIRTEL POSTPAID PURCHASE,-943,expense,Airtel Postpaid,Net Banking
2026-08-03,MONTHLY RENT,-18367,expense,Landlord - Rent,Net Banking
2026-08-03,APOLLO PHARMACY PURCHASE,-2006,expense,Apollo Pharmacy,Debit Card
2026-08-03,NETFLIX PURCHASE,-326,expense,Netflix,Credit Card
2026-08-04,STARBUCKS PURCHASE,-544,expense,Starbucks,Debit Card
2026-08-05,SPOTIFY PURCHASE,-176,expense,Spotify,Debit Card
2026-08-05,IRCTC PURCHASE,-599,expense,IRCTC,UPI
2026-08-05,JIO FIBER PURCHASE,-1127,expense,Jio Fiber,Credit Card
2026-08-06,OLA PURCHASE,-330,expense,Ola,Net Banking
2026-08-06,ZOMATO PURCHASE,-834,expense,Zomato,UPI
2026-08-07,SPOTIFY PURCHASE,-163,expense,Spotify,Cash
2026-08-07,AIRTEL POSTPAID PURCHASE,-992,expense,Airtel Postpaid,Net Banking
2026-08-07,FLIPKART LARGE PURCHASE,-94920,expense,Flipkart,Credit Card
2026-08-10,AIRTEL POSTPAID PURCHASE,-465,expense,Airtel Postpaid,UPI
2026-08-10,NETFLIX PURCHASE,-530,expense,Netflix,Cash
2026-08-11,NETFLIX PURCHASE,-565,expense,Netflix,Net Banking
2026-08-11,ZERODHA PURCHASE,-12370,expense,Zerodha,UPI
2026-08-11,APOLLO PHARMACY PURCHASE,-1605,expense,Apollo Pharmacy,Credit Card
2026-08-13,ZOMATO PURCHASE,-373,expense,Zomato,Debit Card
2026-08-13,OLA PURCHASE,-458,expense,Ola,Credit Card
2026-08-13,BIGBASKET PURCHASE,-2101,expense,BigBasket,Net Banking
